precio,superficie,baños,habitaciones,precio/metro,Barrio
1100,55,1,2,20,Pedralbes 
1100,80,2,4,14,Les Corts 
1000,80,1,3,13,Les Corts 
2000,155,2,4,13,Les Corts 
900,92,1,1,10,La Maternitat-Sant Ramon 
1000,80,1,3,13,Les Corts 
1600,133,2,4,12,La Maternitat-Sant Ramon 
1300,76,1,2,17,Les Corts 
900,75,1,1,12,La Maternitat-Sant Ramon 
1700,98,1,2,17,Les Corts 
650,39,1,1,17,Les Corts 
1050,90,1,4,12,La Maternitat-Sant Ramon 
1250,53,1,1,24,Les Corts 
750,45,1,1,17,La Maternitat-Sant Ramon 
950,50,1,3,19,La Maternitat-Sant Ramon 
3600,170,4,4,21,Pedralbes 
900,29,1,1,31,Les Corts 
4200,273,4,5,15,Pedralbes 
1050,80,1,4,13,Les Corts 
1150,60,1,2,19,Les Corts 
950,70,1,2,14,La Maternitat-Sant Ramon 
2900,167,4,5,17,Pedralbes 
650,45,1,1,14,La Maternitat-Sant Ramon 
1353,83,2,3,16,La Maternitat-Sant Ramon 
750,45,1,1,17,La Maternitat-Sant Ramon 
800,100,1,3,8,Les Corts 
1250,130,2,3,10,La Maternitat-Sant Ramon 
800,50,1,2,16,Les Corts 
875,69,1,3,13,Les Corts 
2800,180,4,5,16,Pedralbes 
1200,75,1,3,16,Les Corts 
990,83,1,3,12,La Maternitat-Sant Ramon 
999,65,1,3,15,La Maternitat-Sant Ramon 
1600,128,3,4,13,La Maternitat-Sant Ramon 
1425,80,2,2,18,La Maternitat-Sant Ramon 
1050,85,2,3,12,La Maternitat-Sant Ramon 
950,65,1,3,15,Les Corts 
850,66,1,1,13,Les Corts 
5000,350,4,3,14,La Maternitat-Sant Ramon 
950,60,2,2,16,La Maternitat-Sant Ramon 
1000,73,1,2,14,Les Corts 
1800,120,2,4,15,La Maternitat-Sant Ramon 
1050,60,1,2,18,Les Corts 
1300,112,2,2,12,La Maternitat-Sant Ramon 
1700,79,1,2,22,Les Corts 
1700,146,3,4,12,Les Corts 
1300,108,1,4,12,La Maternitat-Sant Ramon 
3900,191,3,3,20,Les Corts 
1500,110,2,4,14,La Maternitat-Sant Ramon 
1136,64,2,3,18,Les Corts 
1000,60,1,1,17,Les Corts 
1200,91,2,3,13,Les Corts 
1275,96,2,2,13,La Maternitat-Sant Ramon 
900,82,1,2,11,Les Corts 
1700,120,3,4,14,Les Corts 
1800,124,3,4,15,La Maternitat-Sant Ramon 
1160,105,2,3,11,La Maternitat-Sant Ramon 
1000,80,2,3,13,Les Corts 
999,68,2,3,15,La Maternitat-Sant Ramon 
1540,120,2,4,13,La Maternitat-Sant Ramon 
1100,80,1,4,14,La Maternitat-Sant Ramon 
750,65,1,1,12,La Maternitat-Sant Ramon 
6500,285,4,4,23,Pedralbes 
600,31,1,1,19,Les Corts 
850,55,1,1,15,Les Corts 
720,52,1,1,14,Les Corts 
980,81,2,4,12,Les Corts 
1100,90,2,4,12,Les Corts 
1000,80,1,4,13,Les Corts 
1200,95,2,4,13,La Maternitat-Sant Ramon 
1300,107,1,4,12,La Maternitat-Sant Ramon 
930,91,1,4,10,Les Corts 
1450,107,1,4,14,La Maternitat-Sant Ramon 
4900,330,5,5,15,Pedralbes 
999,75,1,3,13,Les Corts 
850,55,1,1,15,Les Corts 
925,83,1,3,11,La Maternitat-Sant Ramon 
900,48,1,1,19,La Maternitat-Sant Ramon 
1145,101,2,3,11,La Maternitat-Sant Ramon 
950,68,1,2,14,La Maternitat-Sant Ramon 
973,101,2,3,10,La Maternitat-Sant Ramon 
900,82,1,3,11,Les Corts 
1300,109,1,4,12,La Maternitat-Sant Ramon 
2900,203,3,3,14,Les Corts 
1200,88,2,4,14,Les Corts 
1850,95,2,2,19,Les Corts 
1250,83,2,4,15,Les Corts 
1980,127,2,3,16,Les Corts 
3500,146,3,2,24,Les Corts 
3550,175,3,3,20,Les Corts 
800,47,1,1,17,La Maternitat-Sant Ramon 
700,50,1,1,14,Les Corts 
8500,190,3,4,45,Pedralbes 
1100,58,1,2,19,Les Corts 
1160,73,2,3,16,Les Corts 
4000,270,4,3,15,La Maternitat-Sant Ramon 
900,80,2,3,11,La Maternitat-Sant Ramon 
1000,60,1,1,17,Les Corts 
1350,120,1,3,11,Les Corts 
1400,60,1,2,23,Pedralbes 
1450,117,2,2,12,Les Corts 
2750,140,2,3,20,Pedralbes 
1235,104,2,4,12,Les Corts 
2750,160,3,5,17,Pedralbes 
3700,325,5,5,11,Pedralbes 
1100,79,1,2,14,Les Corts 
1500,92,2,3,16,La Maternitat-Sant Ramon 
975,101,2,3,10,La Maternitat-Sant Ramon 
4900,230,3,4,21,Pedralbes 
800,65,1,1,12,Les Corts 
1300,110,2,4,12,Les Corts 
1495,149,2,4,10,La Maternitat-Sant Ramon 
1300,110,1,4,12,La Maternitat-Sant Ramon 
2990,200,3,3,15,Pedralbes 
2500,167,3,5,15,Pedralbes 
2850,179,3,5,16,Pedralbes 
2900,150,2,4,19,La Maternitat-Sant Ramon 
999,102,2,3,10,Les Corts 
990,70,2,2,14,La Maternitat-Sant Ramon 
575,27,1,1,21,Les Corts 
2750,150,2,3,18,Pedralbes 
890,67,1,2,13,Les Corts 
650,45,1,1,14,Les Corts 
1200,55,1,1,22,Pedralbes 
1480,125,3,5,12,Les Corts 
2100,190,3,4,11,Pedralbes 
1000,93,1,3,11,Pedralbes 
850,75,1,1,11,Les Corts 
700,55,1,2,13,Les Corts 
999,80,2,3,12,La Maternitat-Sant Ramon 
1400,96,2,2,15,La Maternitat-Sant Ramon 
2975,232,2,5,13,Pedralbes 
1500,115,2,4,13,Les Corts 
1677,117,2,3,14,La Maternitat-Sant Ramon 
1400,125,2,3,11,Les Corts 
1500,120,2,4,13,La Maternitat-Sant Ramon 
920,80,1,3,12,Les Corts 
1300,126,2,3,10,Les Corts 
1200,86,2,3,14,Les Corts 
1300,109,1,4,12,La Maternitat-Sant Ramon 
1500,100,2,4,15,La Maternitat-Sant Ramon 
1600,105,2,2,15,Les Corts 
750,48,1,2,16,Les Corts 
1990,145,3,3,14,La Maternitat-Sant Ramon 
1400,110,2,4,13,La Maternitat-Sant Ramon 
3000,235,4,4,13,Pedralbes 
890,77,1,3,12,La Maternitat-Sant Ramon 
1890,112,2,3,17,Les Corts 
1980,180,1,2,11,Les Corts 
850,65,1,2,13,Les Corts 
1100,60,1,1,18,Les Corts 
985,62,1,2,16,Les Corts 
1520,107,2,3,14,Les Corts 
1190,57,1,1,21,Pedralbes 
1150,91,2,4,13,Les Corts 
850,42,1,2,20,Les Corts 
790,55,1,3,14,La Maternitat-Sant Ramon 
900,93,1,1,10,La Maternitat-Sant Ramon 
1100,79,1,2,14,Les Corts 
1900,125,3,3,15,Pedralbes 
3400,143,2,3,24,Pedralbes 
1375,106,2,3,13,Pedralbes 
1300,55,1,2,24,La Maternitat-Sant Ramon 
990,75,1,2,13,Les Corts 
1290,95,2,3,14,La Maternitat-Sant Ramon 
795,51,1,1,16,Les Corts 
790,97,2,2,8,Les Corts 
1650,110,2,3,15,Les Corts 
1250,110,1,4,11,Les Corts 
1300,107,1,4,12,La Maternitat-Sant Ramon 
1150,98,1,3,12,Les Corts 
800,69,1,4,12,La Maternitat-Sant Ramon 
