precio,superficie,baños,habitaciones,precio/metro,Barrio
900,70,1,2,13,El Raval 
1.500,106,2,3,14,El Barri Gòtic 
720,56,1,1,13,El Raval 
900,68,1,2,13,El Raval 
1.250,46,2,2,27,Sant Pere-Santa Caterina-La Ribera 
1.200,78,2,1,15,El Barri Gòtic 
1.100,50,1,1,22,El Barri Gòtic 
750,32,1,1,23,La Barceloneta 
1.000,80,1,2,13,Sant Pere-Santa Caterina-La Ribera 
1.175,63,1,3,19,El Raval 
650,30,1,1,22,El Raval 
1.300,65,1,2,20,Sant Pere-Santa Caterina-La Ribera 
650,41,1,1,16,El Barri Gòtic 
700,40,1,1,18,El Barri Gòtic 
6.000,160,2,3,38,El Barri Gòtic 
821,56,1,2,15,El Raval 
1.438,64,1,2,22,El Barri Gòtic 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
2.750,179,2,5,15,El Raval 
1.000,68,1,1,15,Sant Pere-Santa Caterina-La Ribera 
850,55,1,1,15,La Barceloneta 
1.674,55,1,2,30,El Barri Gòtic 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
750,45,1,2,17,El Barri Gòtic 
1.350,62,1,2,22,El Raval 
700,37,1,1,19,La Barceloneta 
750,30,1,1,25,El Raval 
920,70,2,2,13,El Barri Gòtic 
1.210,45,1,1,27,El Barri Gòtic 
2.400,139,2,3,17,Sant Pere-Santa Caterina-La Ribera 
890,62,1,1,14,El Barri Gòtic 
1.200,82,1,2,15,Sant Pere-Santa Caterina-La Ribera 
950,29,1,1,33,Sant Pere-Santa Caterina-La Ribera 
1.090,109,1,3,10,Sant Pere-Santa Caterina-La Ribera 
2.000,100,2,2,20,Sant Pere-Santa Caterina-La Ribera 
950,91,1,3,10,El Raval 
540,24,1,1,23,El Raval 
1.732,73,1,2,24,El Barri Gòtic 
690,26,1,1,27,El Barri Gòtic 
650,46,1,1,14,El Raval 
900,70,1,2,13,El Raval 
600,33,1,1,18,La Barceloneta 
670,40,1,2,17,El Raval 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
620,43,1,1,14,El Raval 
540,24,1,1,23,El Raval 
640,33,1,1,19,El Barri Gòtic 
1.300,66,1,2,20,El Barri Gòtic 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
670,40,1,2,17,El Raval 
1.050,80,1,3,13,El Barri Gòtic 
950,80,1,3,12,El Raval 
995,92,2,3,11,El Barri Gòtic 
660,45,1,1,15,La Barceloneta 
540,24,1,1,23,El Raval 
660,58,1,1,11,El Raval 
1.100,50,1,1,22,El Barri Gòtic 
1.787,75,1,2,24,El Barri Gòtic 
1.441,57,1,1,25,El Barri Gòtic 
1.732,73,1,2,24,El Barri Gòtic 
1.100,89,1,3,12,El Barri Gòtic 
950,64,1,2,15,El Barri Gòtic 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
840,36,1,1,23,La Barceloneta 
890,78,2,2,11,El Raval 
540,24,1,1,23,El Raval 
1.438,65,1,2,22,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
670,40,1,2,17,El Raval 
865,52,1,2,17,El Barri Gòtic 
3.000,181,4,3,17,Sant Pere-Santa Caterina-La Ribera 
1.450,55,1,1,26,El Barri Gòtic 
850,68,1,2,13,El Raval 
890,74,1,2,12,El Barri Gòtic 
1.000,45,1,1,22,El Barri Gòtic 
920,65,1,2,14,El Barri Gòtic 
700,50,1,1,14,El Raval 
1.430,75,1,1,19,Sant Pere-Santa Caterina-La Ribera 
800,55,1,1,15,El Raval 
800,40,1,1,20,El Raval 
1.200,65,1,1,18,El Raval 
670,48,1,1,14,El Raval 
845,50,1,2,17,El Barri Gòtic 
700,50,1,1,14,El Barri Gòtic 
1.100,70,1,2,16,El Raval 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
700,48,1,1,15,El Raval 
900,78,1,1,12,Sant Pere-Santa Caterina-La Ribera 
910,76,1,1,12,El Raval 
900,54,1,1,17,Sant Pere-Santa Caterina-La Ribera 
