precio,superficie,baños,habitaciones,precio/metro,Barrio
1250,94,2,3,13,La Nova Esquerra de l'Eixample 
800,52,1,2,15,La Nova Esquerra de l'Eixample 
1580,175,2,5,9,L'Antiga Esquerra de l'Eixample 
1350,70,1,3,19,El Fort Pienc 
3000,95,2,3,32,La Dreta de l'Eixample 
950,65,1,2,15,La Nova Esquerra de l'Eixample 
2750,250,3,5,11,L'Antiga Esquerra de l'Eixample 
900,50,1,1,18,La Dreta de l'Eixample 
875,65,1,3,13,La Sagrada Família 
1200,48,1,1,25,La Dreta de l'Eixample 
750,70,1,2,11,La Sagrada Família 
875,38,1,1,23,Sant Antoni 
870,65,1,2,13,La Nova Esquerra de l'Eixample 
4000,228,3,6,18,La Dreta de l'Eixample 
2200,148,2,3,15,La Sagrada Família 
4000,150,3,5,27,La Dreta de l'Eixample 
2100,116,2,4,18,La Dreta de l'Eixample 
1000,87,2,3,11,La Nova Esquerra de l'Eixample 
900,50,1,1,18,L'Antiga Esquerra de l'Eixample 
2700,88,2,3,31,La Dreta de l'Eixample 
1100,75,1,4,15,La Sagrada Família 
900,75,1,3,12,El Fort Pienc 
2400,145,2,4,17,La Dreta de l'Eixample 
1100,65,1,2,17,La Nova Esquerra de l'Eixample 
1200,73,1,2,16,La Sagrada Família 
1150,80,1,4,14,La Nova Esquerra de l'Eixample 
1050,55,1,2,19,La Nova Esquerra de l'Eixample 
1250,79,2,3,16,El Fort Pienc 
1139,79,1,3,14,Sant Antoni 
1350,70,1,2,19,La Sagrada Família 
2059,60,1,1,34,La Dreta de l'Eixample 
1490,76,2,2,20,La Dreta de l'Eixample 
2900,150,2,3,19,L'Antiga Esquerra de l'Eixample 
1200,85,1,3,14,La Sagrada Família 
900,67,1,3,13,La Sagrada Família 
1400,115,2,4,12,La Sagrada Família 
1500,80,2,3,19,El Fort Pienc 
950,64,1,3,15,La Nova Esquerra de l'Eixample 
1250,75,2,2,17,Sant Antoni 
950,50,1,1,19,L'Antiga Esquerra de l'Eixample 
2200,169,2,3,13,La Sagrada Família 
2100,130,2,3,16,El Fort Pienc 
1750,90,2,3,19,La Dreta de l'Eixample 
1250,130,2,5,10,Sant Antoni 
2200,272,2,5,8,Sant Antoni 
1600,100,2,3,16,La Dreta de l'Eixample 
950,74,2,4,13,La Dreta de l'Eixample 
1400,133,2,3,11,L'Antiga Esquerra de l'Eixample 
1350,95,1,2,14,La Sagrada Família 
1100,35,1,1,31,La Nova Esquerra de l'Eixample 
1150,76,1,2,15,La Dreta de l'Eixample 
1950,107,1,1,18,La Dreta de l'Eixample 
950,110,1,4,9,El Fort Pienc 
1250,113,2,3,11,L'Antiga Esquerra de l'Eixample 
4000,220,2,6,18,La Dreta de l'Eixample 
2900,105,2,3,28,Sant Antoni 
770,65,1,2,12,La Dreta de l'Eixample 
1700,156,2,4,11,La Dreta de l'Eixample 
1050,115,2,4,9,La Dreta de l'Eixample 
900,70,1,2,13,La Dreta de l'Eixample 
3500,100,2,2,35,La Dreta de l'Eixample 
850,91,1,3,9,La Dreta de l'Eixample 
1500,90,1,1,17,La Sagrada Família 
800,50,2,1,16,La Nova Esquerra de l'Eixample 
1200,106,1,4,11,La Nova Esquerra de l'Eixample 
3000,170,2,2,18,La Dreta de l'Eixample 
1800,90,2,2,20,La Dreta de l'Eixample 
1200,95,2,3,13,L'Antiga Esquerra de l'Eixample 
1050,89,2,3,12,La Dreta de l'Eixample 
2600,120,2,3,22,L'Antiga Esquerra de l'Eixample 
930,75,1,3,12,L'Antiga Esquerra de l'Eixample 
850,75,1,3,11,La Sagrada Família 
1199,80,1,4,15,L'Antiga Esquerra de l'Eixample 
2055,200,3,4,10,Sant Antoni 
1650,95,3,3,17,La Dreta de l'Eixample 
2950,130,2,2,23,La Dreta de l'Eixample 
1800,105,1,2,17,La Dreta de l'Eixample 
945,72,1,3,13,Sant Antoni 
