precio,superficie,baños,habitaciones,precio/metro,Barrio
995,102,1,4,10,Montbau 
720,123,2,2,6,El Carmel 
1.100,118,1,3,9,El Guinardó 
900,65,1,1,14,El Baix Guinardó 
830,57,1,3,15,El Baix Guinardó 
850,65,1,3,13,El Baix Guinardó 
1.050,78,1,3,13,Horta 
1.250,75,1,1,17,El Baix Guinardó 
1.100,84,2,3,13,La Teixonera 
750,64,1,3,12,El Guinardó 
800,75,2,3,11,El Guinardó 
650,55,2,1,12,El Guinardó 
1.000,82,1,3,12,El Baix Guinardó 
760,45,1,1,17,El Guinardó 
690,49,1,3,14,El Carmel 
820,72,1,3,11,Sant Genís dels Agudells 
950,89,2,4,11,El Guinardó 
1.100,69,1,3,16,El Carmel 
875,60,1,2,15,El Baix Guinardó 
850,60,1,2,14,Can Baró 
725,52,1,2,14,El Guinardó 
1.050,80,1,3,13,Sant Genís dels Agudells 
850,70,1,3,12,El Carmel 
700,59,1,2,12,El Guinardó 
850,57,1,3,15,Horta 
1.300,270,2,4,5,La Font d'en Fargues 
600,45,1,1,13,La Teixonera 
993,100,2,4,10,El Guinardó 
675,59,1,2,11,El Guinardó 
780,75,1,2,10,Horta 
1.225,114,2,4,11,El Baix Guinardó 
752,68,1,3,11,El Carmel 
1.150,78,1,2,15,Can Baró 
700,47,1,2,15,Can Baró 
850,60,1,1,14,El Guinardó 
745,52,1,2,14,El Baix Guinardó 
885,67,1,3,13,El Baix Guinardó 
995,90,2,3,11,El Baix Guinardó 
750,85,1,3,9,El Baix Guinardó 
820,67,1,2,12,El Guinardó 
900,51,1,1,18,El Baix Guinardó 
750,58,1,3,13,La Font d'en Fargues 
725,53,1,2,14,Can Baró 
1.100,90,1,4,12,El Guinardó 
850,75,1,3,11,El Guinardó 
825,65,1,3,13,Montbau 
1.195,100,1,4,12,El Guinardó 
1.100,70,1,2,16,El Guinardó 
950,65,1,2,15,El Baix Guinardó 
700,63,1,3,11,Horta 
900,60,1,2,15,El Carmel 
589,60,1,2,10,El Carmel 
920,57,1,3,16,Horta 
900,75,1,3,12,La Teixonera 
1.500,50,1,1,30,Can Baró 
1.499,50,1,1,30,Can Baró 
775,60,1,3,13,El Baix Guinardó 
700,58,1,2,12,La Font d'en Fargues 
750,70,1,3,11,La Vall d'Hebron 
1.600,70,2,2,23,La Font d'en Fargues 
875,67,1,3,13,Montbau 
800,50,1,1,16,Horta 
775,50,1,2,16,Montbau 
800,70,1,3,11,La Vall d'Hebron 
690,49,1,2,14,El Guinardó 
700,47,1,1,15,El Guinardó 
575,32,1,1,18,El Guinardó 
930,71,2,2,13,El Guinardó 
830,57,1,3,15,El Baix Guinardó 
800,91,1,3,9,Horta 
1.150,57,1,2,20,Can Baró 
720,65,1,2,11,El Carmel 
950,120,2,2,8,La Teixonera 
900,75,1,3,12,La Teixonera 
1.090,90,2,3,12,Horta 
800,80,1,3,10,El Guinardó 
750,65,1,3,12,La Font d'en Fargues 
780,75,1,2,10,El Guinardó 
1.300,64,1,2,20,Horta 
780,77,2,3,10,El Guinardó 
890,76,1,3,12,El Carmel 
1.360,130,2,2,10,El Guinardó 
1.000,88,2,3,11,Sant Genís dels Agudells 
800,49,1,3,16,Horta 
800,67,1,3,12,Montbau 
2.700,262,4,4,10,El Guinardó 
870,68,1,3,13,El Guinardó 
750,70,1,2,11,El Guinardó 
780,49,1,2,16,El Baix Guinardó 
780,74,1,2,11,El Carmel 
800,75,1,2,11,La Teixonera 
750,63,1,3,12,El Carmel 
800,50,1,1,16,El Guinardó 
800,82,1,3,10,El Guinardó 
650,69,1,2,9,Sant Genís dels Agudells 
750,63,1,2,12,El Guinardó 
1.250,70,1,2,18,El Baix Guinardó 
2.500,175,4,4,14,Can Baró 
725,65,1,3,11,El Carmel 
800,50,1,1,16,La Teixonera 
1.300,120,2,4,11,El Guinardó 
1.750,185,2,3,9,La Teixonera 
890,90,1,2,10,El Guinardó 
800,55,1,2,15,La Teixonera 
1.300,70,1,2,19,Horta 
800,62,1,2,13,Horta 
740,70,1,3,11,El Carmel 
575,28,1,1,21,El Guinardó 
750,66,1,3,11,Montbau 
990,85,3,3,12,El Guinardó 
1.000,69,1,3,14,Montbau 
2.250,198,2,3,11,La Font d'en Fargues 
1.000,60,1,3,17,Montbau 
795,70,2,3,11,Montbau 
690,67,1,2,10,El Carmel 
765,64,2,3,12,Can Baró 
1.100,87,2,2,13,El Baix Guinardó 
700,60,1,3,12,Montbau 
842,68,1,3,12,El Guinardó 
1.100,60,1,1,18,El Baix Guinardó 
995,85,1,2,12,El Guinardó 
2.250,198,2,3,11,La Font d'en Fargues 
2.500,200,3,5,13,La Font d'en Fargues 
750,71,2,2,11,El Guinardó 
1.160,97,2,4,12,El Baix Guinardó 
850,60,1,1,14,Can Baró 
1.650,60,1,2,28,El Baix Guinardó 
875,71,1,3,12,Montbau 
715,59,1,3,12,El Carmel 
725,57,1,3,13,El Guinardó 
950,49,2,2,19,Can Baró 
800,78,1,3,10,La Teixonera 
925,81,1,3,11,El Baix Guinardó 
1.200,95,2,3,13,El Baix Guinardó 
850,66,1,3,13,El Guinardó 
667,37,1,1,18,El Baix Guinardó 
1.180,151,3,3,8,El Guinardó 
900,75,1,3,12,El Baix Guinardó 
950,102,1,3,9,El Baix Guinardó 
850,74,1,4,11,El Baix Guinardó 
1.200,65,1,4,18,Montbau 
770,80,1,2,10,El Carmel 
950,78,2,3,12,El Baix Guinardó 
750,72,1,2,10,El Guinardó 
800,61,1,2,13,El Carmel 
1.000,75,1,2,13,Can Baró 
525,40,1,1,13,La Clota 
800,70,1,3,11,Horta 
795,40,1,1,20,El Baix Guinardó 
800,65,1,3,12,El Guinardó 
700,66,1,3,11,El Carmel 
700,55,1,2,13,Can Baró 
624,40,1,2,16,Horta 
1.700,185,2,3,9,La Teixonera 
700,65,1,1,11,El Guinardó 
975,98,1,4,10,El Guinardó 
1.400,110,2,4,13,La Teixonera 
810,75,1,2,11,El Guinardó 
