precio,superficie,baños,habitaciones,precio/metro,Barrio
775,48,1,2,16,El Turó de la Peira-Can Peguera 
930,84,2,3,11,Vilapicina-La Torre Llobeta 
750,74,1,2,10,La Prosperitat 
1.650,125,1,3,13,El Turó de la Peira-Can Peguera 
600,30,1,1,20,La Trinitat Nova 
550,30,2,1,18,El Turó de la Peira-Can Peguera 
920,81,1,3,11,La Prosperitat 
634,51,1,2,12,Porta 
850,75,1,2,11,Vilapicina-La Torre Llobeta 
800,76,1,3,11,El Turó de la Peira-Can Peguera 
675,50,1,3,14,Verdun 
606,56,1,3,11,El Turó de la Peira-Can Peguera 
1.250,89,1,2,14,Vilapicina-La Torre Llobeta 
765,57,1,2,13,La Prosperitat 
625,75,1,2,8,El Turó de la Peira-Can Peguera 
800,51,1,2,16,Roquetes 
500,41,1,1,12,El Turó de la Peira-Can Peguera 
900,82,1,4,11,Vilapicina-La Torre Llobeta 
1.000,106,2,4,9,La Prosperitat 
845,74,1,3,11,Vilapicina-La Torre Llobeta 
700,75,1,2,9,Roquetes 
650,40,1,2,16,Verdun 
620,40,1,2,16,La Trinitat Nova 
600,45,1,1,13,El Turó de la Peira-Can Peguera 
760,57,1,2,13,Porta 
725,60,1,3,12,La Trinitat Nova 
698,59,1,2,12,El Turó de la Peira-Can Peguera 
1.150,89,1,2,13,Vilapicina-La Torre Llobeta 
650,60,1,2,11,El Turó de la Peira-Can Peguera 
700,55,1,3,13,Canyelles 
800,67,1,4,12,Vilapicina-La Torre Llobeta 
800,72,1,2,11,El Turó de la Peira-Can Peguera 
690,57,1,2,12,La Prosperitat 
1.000,102,2,4,10,Vilapicina-La Torre Llobeta 
950,80,2,2,12,Porta 
1.200,89,1,2,13,Vilapicina-La Torre Llobeta 
