precio,superficie,baños,habitaciones,precio/metro,Barrio
895,99,1,4,9,La Sagrera 
800,72,1,2,11,Sant Andreu 
890,62,1,3,14,La Sagrera 
660,60,1,3,11,Navas 
850,76,1,3,11,El Bon Pastor 
900,57,1,1,16,Sant Andreu 
1.443,69,1,2,21,Navas 
860,70,1,3,12,La Sagrera 
1.075,86,2,3,13,Navas 
920,90,2,4,10,Sant Andreu 
870,80,1,3,11,Sant Andreu 
800,82,1,2,10,La Sagrera 
800,65,1,3,12,La Sagrera 
940,70,1,2,13,Sant Andreu 
750,60,1,2,13,Navas 
850,70,1,2,12,Sant Andreu 
750,80,1,3,9,Sant Andreu 
1.000,100,1,3,10,El Congrés-Els Indians 
892,72,1,2,12,La Sagrera 
530,35,1,2,15,Sant Andreu 
1.650,90,2,3,18,El Bon Pastor 
850,60,1,2,14,Sant Andreu 
1.100,73,1,3,15,La Sagrera 
980,80,1,3,12,El Congrés-Els Indians 
800,69,1,3,12,La Sagrera 
925,70,1,3,13,Navas 
585,50,1,1,12,La Trinitat Vella 
570,63,1,2,9,La Trinitat Vella 
950,90,1,2,11,Sant Andreu 
850,65,1,3,13,La Sagrera 
770,55,1,1,14,Sant Andreu 
950,55,1,1,17,Sant Andreu 
990,94,2,3,11,Sant Andreu 
850,65,1,3,13,Navas 
698,48,1,2,15,Sant Andreu 
1.300,65,1,2,20,Navas 
925,70,1,2,13,Navas 
1.085,112,2,3,10,Sant Andreu 
1.000,95,2,3,11,Navas 
820,90,1,2,9,La Trinitat Vella 
984,80,1,3,12,Navas 
800,64,1,3,13,La Sagrera 
875,82,2,2,11,Sant Andreu 
995,60,1,3,17,Sant Andreu 
940,86,1,4,11,La Sagrera 
775,60,1,3,13,Navas 
895,90,2,1,10,La Sagrera 
720,65,1,2,11,Sant Andreu 
760,80,1,2,10,Sant Andreu 
860,70,1,3,12,La Sagrera 
740,55,1,2,13,La Sagrera 
900,81,1,3,11,El Congrés-Els Indians 
900,55,1,1,16,Sant Andreu 
800,74,1,2,11,Sant Andreu 
650,40,1,1,16,Sant Andreu 
925,85,1,3,11,Sant Andreu 
750,72,1,3,10,Sant Andreu 
1.000,85,2,3,12,Sant Andreu 
1.100,82,1,3,13,Navas 
810,80,1,3,10,El Congrés-Els Indians 
800,72,1,2,11,Sant Andreu 
670,50,1,1,13,Sant Andreu 
950,61,1,2,16,El Congrés-Els Indians 
750,48,1,1,16,Sant Andreu 
800,65,1,2,12,La Sagrera 
890,80,1,2,11,Sant Andreu 
760,68,1,2,11,El Congrés-Els Indians 
950,50,1,1,19,Baró de Viver 
895,93,2,4,10,La Sagrera 
650,50,1,2,13,Sant Andreu 
900,81,1,3,11,El Congrés-Els Indians 
1.100,87,2,3,13,Navas 
3.000,330,1,4,9,Navas 
850,54,1,2,16,Navas 
950,95,1,3,10,El Bon Pastor 
900,90,1,3,10,Navas 
1.050,82,2,4,13,Navas 
900,81,1,3,11,El Congrés-Els Indians 
1.010,68,2,2,15,Navas 
770,40,1,1,19,Sant Andreu 
850,75,2,3,11,Navas 
586,40,1,1,15,Sant Andreu 
750,65,1,2,12,La Sagrera 
990,86,2,5,12,Navas 
860,68,1,3,13,Sant Andreu 
990,94,2,3,11,Sant Andreu 
819,65,1,3,13,Sant Andreu 
850,78,1,3,11,Sant Andreu 
810,75,1,3,11,El Congrés-Els Indians 
890,67,1,2,13,La Sagrera 
1.250,72,1,2,17,Sant Andreu 
745,55,1,3,14,El Congrés-Els Indians 
