precio,superficie,baños,habitaciones,precio/metro,Barrio
3.500,150,2,3,23,El Parc-La Llacuna del Poblenou 
1.000,48,1,1,21,El Poblenou 
1.700,90,2,3,19,El Besòs-El Maresme 
1.200,85,1,2,14,El Poblenou 
2.560,104,2,2,25,El Poblenou 
1.500,126,2,3,12,El Poblenou 
800,60,1,2,13,El Camp de l'Arpa del Clot 
750,78,1,3,10,El Besòs-El Maresme 
6.000,240,2,3,25,Diagonal Mar-El Front Marítim del Poblenou 
1.100,50,1,1,22,La Vila Olímpica del Poblenou 
790,70,1,2,11,Sant Martí de Provençals 
1.000,80,1,4,13,El Camp de l'Arpa del Clot 
819,69,2,3,12,Provençals del Poblenou 
1.000,80,2,4,13,El Camp de l'Arpa del Clot 
1.600,70,2,2,23,Diagonal Mar-El Front Marítim del Poblenou 
3.800,135,2,3,28,El Poblenou 
1.250,131,2,3,10,El Clot 
1.300,95,1,3,14,El Camp de l'Arpa del Clot 
2.380,115,2,2,21,El Poblenou 
1.050,74,1,4,14,El Poblenou 
1.800,105,2,4,17,El Poblenou 
1.300,95,1,3,14,El Camp de l'Arpa del Clot 
800,65,1,3,12,La Verneda-La Pau 
4.500,140,2,4,32,Diagonal Mar-El Front Marítim del Poblenou 
850,60,1,1,14,El Camp de l'Arpa del Clot 
1.200,85,1,2,14,El Camp de l'Arpa del Clot 
750,72,1,3,10,El Besòs-El Maresme 
895,79,1,2,11,Sant Martí de Provençals 
900,65,1,1,14,El Poblenou 
650,40,1,1,16,El Camp de l'Arpa del Clot 
1.100,60,1,1,18,La Vila Olímpica del Poblenou 
850,65,1,1,13,El Camp de l'Arpa del Clot 
2.000,59,2,2,34,Diagonal Mar-El Front Marítim del Poblenou 
850,63,1,3,13,El Besòs-El Maresme 
2.750,95,2,2,29,El Camp de l'Arpa del Clot 
1.420,95,2,4,15,El Parc-La Llacuna del Poblenou 
3.500,150,2,2,23,El Parc-La Llacuna del Poblenou 
1.100,95,2,3,12,La Vila Olímpica del Poblenou 
1.827,113,2,3,16,La Vila Olímpica del Poblenou 
945,75,1,2,13,El Besòs-El Maresme 
1.600,87,1,2,18,La Vila Olímpica del Poblenou 
2.790,135,2,4,21,Diagonal Mar-El Front Marítim del Poblenou 
835,62,2,2,13,El Camp de l'Arpa del Clot 
1.500,85,2,1,18,Diagonal Mar-El Front Marítim del Poblenou 
890,68,1,3,13,El Camp de l'Arpa del Clot 
750,40,1,1,19,El Camp de l'Arpa del Clot 
850,77,1,3,11,El Clot 
600,48,1,1,13,Diagonal Mar-El Front Marítim del Poblenou 
750,50,1,2,15,Provençals del Poblenou 
1.116,75,1,3,15,El Parc-La Llacuna del Poblenou 
850,90,1,3,9,El Besòs-El Maresme 
1.350,55,1,1,25,El Poblenou 
1.600,85,1,2,19,La Vila Olímpica del Poblenou 
1.600,110,2,3,15,El Parc-La Llacuna del Poblenou 
3.900,135,2,3,29,Diagonal Mar-El Front Marítim del Poblenou 
3.900,180,2,3,22,El Poblenou 
850,107,2,4,8,Sant Martí de Provençals 
1.500,100,2,3,15,El Besòs-El Maresme 
1.100,96,2,2,11,Provençals del Poblenou 
3.900,146,2,3,27,Diagonal Mar-El Front Marítim del Poblenou 
1.400,66,1,2,21,El Parc-La Llacuna del Poblenou 
990,65,1,3,15,La Verneda-La Pau 
1.000,78,2,4,13,El Parc-La Llacuna del Poblenou 
1.700,128,2,2,13,La Vila Olímpica del Poblenou 
1.000,50,1,2,20,El Camp de l'Arpa del Clot 
1.100,73,2,2,15,El Parc-La Llacuna del Poblenou 
775,35,1,1,22,El Camp de l'Arpa del Clot 
1.950,78,1,3,25,Diagonal Mar-El Front Marítim del Poblenou 
640,27,1,1,24,El Poblenou 
2.500,144,3,4,17,Diagonal Mar-El Front Marítim del Poblenou 
700,45,1,2,16,Provençals del Poblenou 
1.000,67,1,3,15,El Besòs-El Maresme 
650,42,1,1,15,El Poblenou 
3.500,150,2,3,23,El Parc-La Llacuna del Poblenou 
1.100,90,1,2,12,El Poblenou 
2.700,116,2,2,23,Diagonal Mar-El Front Marítim del Poblenou 
