precio,superficie,baños,habitaciones,precio/metro,Barrio
850,78,1,3,11,Sants 
925,56,1,3,17,Hostafrancs 
1100,74,1,3,15,Hostafrancs 
1000,92,1,4,11,Sants-Badal 
950,87,2,4,11,Sants-Badal 
850,65,1,2,13,Sants-Badal 
1100,73,1,3,15,El Poble-sec 
931,62,1,3,15,Sants 
1020,79,1,2,13,La Bordeta 
1322,110,2,3,12,Sants 
790,55,1,2,14,El Poble-sec 
880,78,1,3,11,Sants-Badal 
1000,72,1,3,14,Hostafrancs 
900,80,1,3,11,Sants 
720,52,1,1,14,Sants 
960,45,1,1,21,Hostafrancs 
900,75,1,3,12,Sants-Badal 
793,60,1,2,13,El Poble-sec 
1190,147,2,3,8,Sants 
1300,107,2,2,12,Sants-Badal 
975,66,2,1,15,Sants 
1000,83,1,3,12,La Bordeta 
955,64,1,3,15,El Poble-sec 
900,75,1,2,12,Hostafrancs 
750,60,2,2,13,Sants 
1100,47,2,2,23,El Poble-sec 
1760,88,1,2,20,Sants 
900,66,1,3,14,El Poble-sec 
800,58,1,3,14,Hostafrancs 
700,45,1,1,16,Sants 
720,55,1,1,13,Hostafrancs 
990,79,2,4,13,Sants 
950,95,2,3,10,Sants 
572,34,1,1,17,Hostafrancs 
1250,110,2,4,11,Sants 
1350,112,2,5,12,El Poble-sec 
990,82,2,4,12,Sants 
750,68,1,3,11,El Poble-sec 
1170,84,2,3,14,Sants-Badal 
760,55,1,2,14,Sants-Badal 
690,38,1,2,18,Sants 
800,46,1,1,17,El Poble-sec 
750,55,1,2,14,Hostafrancs 
950,79,1,2,12,La Bordeta 
1025,80,2,3,13,Sants 
1350,76,1,1,18,El Poble-sec 
950,81,1,3,12,Sants 
900,75,1,4,12,La Font de la Guatlla 
925,53,1,1,17,El Poble-sec 
1100,82,1,2,13,Sants 
1350,71,1,3,19,Hostafrancs 
1150,99,1,4,12,Sants 
750,68,1,3,11,El Poble-sec 
675,48,1,2,14,El Poble-sec 
1100,87,1,1,13,Sants 
890,88,2,3,10,Sants 
900,54,1,3,17,Sants-Badal 
1100,90,2,4,12,Sants-Badal 
1000,59,1,2,17,El Poble-sec 
850,47,1,1,18,Sants 
640,50,1,2,13,Sants-Badal 
900,80,1,4,11,Hostafrancs 
750,50,1,2,15,El Poble-sec 
1100,81,2,3,14,El Poble-sec 
950,81,1,3,12,Sants 
1100,75,1,3,15,Sants 
770,71,1,2,11,La Marina del Port-Parc de Montjuïc 
1600,95,1,4,17,Sants 
700,25,1,1,28,El Poble-sec 
1020,70,1,3,15,Hostafrancs 
1000,85,1,3,12,Sants-Badal 
995,83,2,3,12,Sants 
1050,103,2,3,10,La Bordeta 
1050,50,1,2,21,El Poble-sec 
700,70,1,2,10,Hostafrancs 
880,68,1,3,13,El Poble-sec 
850,65,1,1,13,Sants 
1150,67,1,2,17,El Poble-sec 
870,52,1,2,17,El Poble-sec 
690,45,1,1,15,Hostafrancs 
900,50,1,2,18,El Poble-sec 
790,90,1,1,9,El Poble-sec 
1000,60,2,2,17,El Poble-sec 
1140,75,1,2,15,El Poble-sec 
1099,147,2,3,7,Sants 
1690,140,2,4,12,Sants 
1150,87,2,3,13,Sants 
925,91,1,3,10,Hostafrancs 
670,52,1,1,13,Sants 
980,66,1,2,15,La Font de la Guatlla 
890,44,1,2,20,Sants 
775,51,1,3,15,Sants 
850,70,1,3,12,El Poble-sec 
1400,120,2,4,12,Sants 
925,75,1,2,12,Hostafrancs 
714,51,1,3,14,El Poble-sec 
950,75,1,3,13,La Marina del Port-Parc de Montjuïc 
890,79,1,3,11,El Poble-sec 
1250,90,2,2,14,Sants 
662,45,1,1,15,El Poble-sec 
990,88,2,3,11,La Font de la Guatlla 
890,64,1,3,14,Sants 
1600,91,2,3,18,El Poble-sec 
1500,90,2,2,17,Hostafrancs 
773,55,1,2,14,Hostafrancs 
1100,70,1,2,16,Sants 
1200,74,2,3,16,Sants 
1050,85,1,3,12,Sants 
900,70,1,4,13,Sants 
900,71,1,3,13,Sants-Badal 
800,45,1,1,18,Sants-Badal 
825,50,1,1,17,La Bordeta 
1350,86,2,3,16,Sants 
1160,120,2,4,10,El Poble-sec 
1190,90,1,3,13,El Poble-sec 
850,67,1,2,13,La Font de la Guatlla 
850,52,1,2,16,El Poble-sec 
1200,70,1,3,17,El Poble-sec 
1250,106,2,2,12,Sants 
980,55,1,3,18,El Poble-sec 
1200,72,2,3,17,El Poble-sec 
925,91,2,3,10,Hostafrancs 
900,74,1,3,12,Sants-Badal 
840,64,1,2,13,El Poble-sec 
900,76,2,2,12,Sants 
1000,65,1,3,15,El Poble-sec 
800,57,1,2,14,La Marina del Port-Parc de Montjuïc 
1600,160,2,3,10,Sants-Badal 
825,70,1,3,12,Sants 
1760,88,1,2,20,Sants 
1015,100,2,4,10,Sants-Badal 
740,45,1,1,16,La Bordeta 
995,86,2,3,12,El Poble-sec 
950,80,1,2,12,El Poble-sec 
1210,45,1,1,27,Sants 
899,42,1,1,21,Sants 
1050,90,2,3,12,La Marina del Port-Parc de Montjuïc 
690,57,1,2,12,Sants 
1200,50,1,2,24,Sants-Badal 
1320,117,2,4,11,Sants 
750,67,1,2,11,El Poble-sec 
1500,90,2,3,17,El Poble-sec 
980,57,1,2,17,Hostafrancs 
1200,80,1,2,15,La Bordeta 
950,89,1,4,11,Sants 
1380,102,2,4,14,La Marina del Port-Parc de Montjuïc 
1400,96,1,4,15,Hostafrancs 
900,35,1,1,26,Hostafrancs 
1140,70,1,2,16,El Poble-sec 
850,95,1,3,9,Sants 
900,69,1,2,13,El Poble-sec 
1100,80,1,3,14,Sants-Badal 
950,75,1,3,13,Sants 
750,60,1,2,13,Hostafrancs 
1050,52,1,2,20,Sants 
950,62,1,4,15,La Bordeta 
1760,88,1,2,20,Sants 
850,48,1,1,18,Sants 
795,50,1,1,16,Hostafrancs 
800,55,1,3,15,Sants 
720,52,1,1,14,Sants 
925,83,1,4,11,La Bordeta 
1150,54,2,2,21,El Poble-sec 
1000,83,1,3,12,Sants 
975,79,1,3,12,El Poble-sec 
690,55,1,2,13,Sants 
660,60,1,1,11,La Marina del Port-Parc de Montjuïc 
916,68,1,2,13,El Poble-sec 
1100,87,2,2,13,Hostafrancs 
1500,114,2,2,13,La Bordeta 
990,92,2,2,11,El Poble-sec 
825,50,1,2,17,Sants 
1100,95,2,3,12,Sants-Badal 
830,50,1,1,17,Sants-Badal 
650,50,1,1,13,Sants-Badal 
800,43,1,1,19,El Poble-sec 
900,64,2,3,14,Hostafrancs 
1090,59,1,2,18,El Poble-sec 
950,100,2,3,10,La Bordeta 
1450,102,2,3,14,Sants-Badal 
900,63,2,1,14,El Poble-sec 
1050,42,1,2,25,El Poble-sec 
900,60,1,1,15,Sants-Badal 
1100,88,2,3,13,El Poble-sec 
1250,60,1,2,21,Sants 
750,63,1,2,12,El Poble-sec 
805,49,1,2,16,El Poble-sec 
1300,80,1,3,16,La Bordeta 
900,75,1,3,12,Sants-Badal 
1050,81,1,3,13,La Marina del Port-Parc de Montjuïc 
1210,45,1,1,27,Sants 
850,62,1,3,14,Sants 
800,54,1,2,15,La Marina del Port-Parc de Montjuïc 
