superficie;habitaciones;baños;Precio
60;2;1;750
83;3;1;950
100;4;2;993
150;3;2;1.150
29;1;1;750
119;4;2;1.400
110;3;2;1.100
34;1;1;650
80;3;1;850
160;3;2;1.950
80;3;1;900
58;2;1;950
85;3;2;1.150
92;3;2;1.500
82;3;1;1.000
30;1;1;550
68;3;1;700
50;1;1;900
52;1;1;720
63;2;1;1.075
110;3;2;2.250
125;3;2;1.350
55;2;1;1.400
290;5;4;4.808
86;4;2;1.150
90;4;2;950
40;1;1;650
51;2;1;634
118;4;2;1.250
130;4;3;2.000
90;3;2;1.090
90;2;1;950
250;5;5;6.800
120;3;2;2.200
65;2;1;900
112;5;2;1.350
100;3;2;1.180
110;2;2;1.500
83;3;2;995
71;3;1;1.000
60;2;1;600
125;3;2;1.393
75;3;1;900
80;3;2;1.100
75;4;2;900
128;3;3;2.950
85;2;2;1.590
72;2;1;800
96;2;2;1.200
47;1;1;750
90;4;2;920
170;4;4;3.600
50;1;1;1.300
115;4;2;1.400
48;2;1;675
65;2;1;750
60;2;1;920
85;4;2;1.200
115;3;2;1.800
85;3;1;1.300
68;2;1;850
70;2;1;980
68;2;1;900
64;2;1;820
70;2;1;1.600
55;2;1;980
92;4;2;950
85;3;1;995
64;2;1;1.300
50;2;1;850
55;2;1;990
100;2;2;1.300
29;1;1;600
65;2;2;750
82;4;1;900
51;1;1;850
105;3;2;1.400
92;3;2;1.450
70;2;1;850
125;3;2;1.400
60;2;1;750
60;2;1;1.800
115;2;1;1.850
120;3;2;3.100
95;2;2;1.700
191;3;3;3.500
55;2;1;800
89;1;2;1.750
285;4;4;6.500
83;4;1;925
88;4;2;1.150
68;1;1;800
58;2;1;800
65;1;1;800
33;1;1;600
195;3;2;2.500
66;3;1;1.350
88;3;1;1.100
86;3;2;1.090
66;2;1;1.050
55;1;2;650
40;1;1;750
65;2;2;950
99;3;2;1.330
52;2;1;870
80;4;1;1.100
99;2;2;1.900
95;2;2;2.000
71;3;1;900
53;2;1;725
120;4;2;1.250
62;3;1;850
70;3;1;930
90;4;2;1.100
84;3;2;1.100
120;3;2;1.550
65;3;1;850
92;3;1;1.200
75;1;1;900
40;1;1;850
115;3;2;1.300
100;3;2;1.400
95;4;1;1.100
35;1;1;600
85;3;1;925
50;2;1;1.050
88;2;1;1.600
95;4;1;1.600
85;3;3;990
70;3;1;750
76;3;1;980
115;3;2;1.750
64;2;1;900
75;3;1;875
80;3;1;810
84;3;1;950
273;5;4;4.200
64;3;1;775
96;3;1;1.700
60;2;2;1.000
74;2;1;1.400
100;4;2;1.699
71;2;1;750
60;2;1;730
90;2;2;2.200
60;3;1;800
59;1;1;990
122;3;2;1.000
250;4;3;3.000
25;1;1;700
84;3;2;930
171;3;3;2.500
50;1;1;1.100
236;5;3;3.000
99;3;2;1.200
73;2;2;1.150
67;3;1;1.300
75;3;1;930
89;1;1;950
144;3;2;1.550
63;3;1;900
57;1;1;1.285
140;3;3;1.500
120;4;2;1.580
42;1;1;700
80;3;1;1.050
95;4;2;1.250
101;3;2;1.145
90;3;1;1.275
65;4;1;1.200
40;1;1;700
52;2;1;800
65;3;1;950
80;3;1;1.100
90;3;2;2.300
60;2;1;1.200
80;3;1;900
34;1;1;860
111;4;2;1.350
65;2;1;770
55;1;1;750
69;1;1;1.100
55;1;1;690
100;3;2;2.000
168;4;3;3.200
96;4;2;1.150
85;3;1;1.080
57;1;1;1.190
45;2;1;700
72;3;1;820
81;3;2;1.350
48;2;1;725
60;2;1;1.100
51;3;1;795
78;2;1;1.250
65;2;1;1.100
50;3;1;800
75;3;1;820
70;2;2;950
55;1;1;950
93;2;2;1.090
40;1;1;800
30;1;2;550
109;3;2;1.800
96;2;2;1.100
85;3;1;1.080
88;3;2;1.500
75;1;1;850
66;2;1;1.200
83;4;2;1.250
150;7;2;1.950
115;3;2;1.300
70;2;1;900
64;1;1;1.300
181;3;3;2.750
65;2;1;900
70;2;1;1.100
90;3;2;1.100
440;2;1;2.200
60;3;1;980
88;2;1;1.760
85;4;2;1.150
80;3;1;800
68;3;1;752
56;2;2;1.350
80;2;1;900
55;2;1;975
80;3;2;1.500
140;3;2;2.500
69;3;1;1.300
81;4;1;1.450
170;2;2;3.000
66;3;1;900
45;1;1;650
70;1;1;1.100
85;2;1;1.980
100;2;2;3.800
77;2;1;990
80;3;1;1.050
45;1;1;620
110;4;2;1.350
71;2;1;770
110;2;1;1.800
103;3;2;1.050
106;4;2;1.200
45;1;1;750
52;2;1;625
54;3;1;850
95;2;1;1.385
64;2;1;900
130;3;2;2.250
85;2;1;1.500
140;3;2;1.600
70;2;1;900
110;4;2;1.250
41;1;1;690
45;2;1;650
76;1;1;950
134;3;2;3.000
233;5;3;3.000
185;4;2;2.700
67;3;1;830
100;3;1;1.150
29;1;1;950
54;1;1;950
350;3;4;5.000
40;1;1;1.200
90;3;1;1.300
50;2;1;840
94;3;2;1.200
78;3;1;800
60;1;1;900
90;4;2;1.000
40;1;1;650
48;1;1;720
106;2;2;1.250
84;3;2;1.100
140;3;3;1.500
54;2;1;800
100;3;2;1.675
95;3;2;1.300
31;1;1;600
65;1;1;900
77;2;1;1.050
75;4;2;900
65;3;1;750
60;2;1;900
55;2;1;750
40;1;1;935
40;1;1;700
50;2;1;1.000
76;2;1;1.100
50;1;1;900
66;3;1;700
67;2;1;890
65;3;3;1.100
94;3;1;1.195
78;4;2;1.000
63;2;1;1.000
45;1;1;856
90;4;2;1.100
62;2;1;750
110;3;1;1.950
104;4;1;1.100
51;1;1;690
120;3;2;1.590
40;1;1;900
256;4;3;4.500
115;2;2;2.380
64;2;1;1.100
57;3;1;850
85;3;1;1.100
47;1;1;850
70;2;1;900
64;2;1;1.050
120;4;2;1.900
50;2;1;900
128;4;2;1.900
155;4;3;3.250
51;1;1;795
90;3;2;985
86;3;2;850
80;3;1;900
75;3;1;1.125
85;2;1;1.500
80;3;1;900
120;4;1;2.150
85;3;2;1.500
89;3;2;1.050
68;2;1;950
124;4;2;1.700
85;2;1;1.500
160;3;3;3.900
101;2;2;2.451
114;3;2;1.350
73;2;1;1.200
70;2;1;1.300
65;1;1;1.700
80;3;1;1.550
90;3;1;780
82;3;1;1.100
112;5;2;1.350
36;1;1;800
140;3;3;1.500
109;4;1;1.300
60;2;1;1.150
105;3;2;1.650
84;3;1;814
77;2;1;700
55;3;1;790
235;5;3;3.850
170;4;3;4.000
30;1;1;475
50;1;1;585
55;2;1;690
87;2;1;1.122
65;3;1;790
91;3;2;1.050
55;3;1;800
80;3;1;1.550
63;2;1;1.075
60;2;1;1.650
107;4;2;1.200
75;3;1;1.199
109;3;2;1.550
55;1;1;780
85;2;2;1.695
75;2;1;1.500
48;1;1;950
105;3;2;2.000
104;4;2;1.235
45;1;1;835
100;3;2;2.300
30;1;1;640
75;4;2;1.180
78;3;2;950
103;3;2;1.300
59;2;1;1.250
210;4;3;3.200
76;2;2;900
45;1;1;650
41;1;1;640
90;4;2;950
87;3;2;1.000
50;2;1;850
45;1;1;680
70;3;1;750
71;3;1;875
171;4;2;2.400
91;4;1;930
100;2;2;1.340
70;3;2;875
100;4;2;1.200
34;1;1;800
75;3;1;900
110;4;2;1.100
66;2;1;1.000
475;4;4;15.000
96;2;1;1.900
74;3;2;1.000
76;3;1;850
35;1;1;580
36;1;1;840
70;3;2;1.200
112;5;2;1.450
125;3;2;1.400
90;2;1;1.200
61;2;1;1.150
190;4;3;8.500
72;3;1;950
81;2;2;1.200
76;1;1;980
81;3;1;900
65;2;1;1.100
140;3;2;1.600
49;3;1;800
75;3;1;930
102;3;2;1.850
195;2;3;2.800
80;3;2;1.500
45;1;1;968
202;4;3;2.000
55;2;1;1.200
105;2;2;1.700
69;1;1;1.600
80;3;1;1.100
80;2;1;950
50;2;1;825
100;4;2;1.400
230;4;2;4.500
85;3;1;1.250
40;2;1;620
104;3;2;2.200
106;3;2;1.950
86;4;1;1.000
30;1;1;590
67;2;2;1.100
40;1;1;1.350
193;3;2;3.600
70;3;1;995
50;1;2;750
38;3;1;850
41;1;1;950
25;1;1;595
350;4;4;8.000
65;3;1;940
48;3;1;700
200;4;3;2.500
140;4;3;2.700
55;1;1;700
40;1;1;1.000
75;4;2;1.000
66;2;1;1.400
95;3;2;1.150
48;2;1;1.250
85;4;1;900
91;3;2;925
65;2;2;1.600
68;3;1;890
94;3;2;990
146;4;2;3.900
76;2;2;900
65;1;1;1.190
80;3;1;1.050
38;2;1;716
65;3;2;780
90;2;1;985
150;3;2;3.500
75;3;1;1.100
70;1;1;1.050
80;2;2;1.400
50;1;1;700
109;4;2;1.100
29;2;1;694
70;2;1;870
48;1;1;1.200
112;2;2;1.300
80;3;2;800
95;3;1;1.150
78;3;1;1.300
150;4;2;4.200
55;2;1;750
340;6;3;3.500
50;1;1;1.100
62;2;1;1.350
45;1;1;960
65;1;1;900
107;2;2;1.300
86;4;1;940
88;2;2;1.490
88;3;2;1.290
135;3;2;3.900
100;4;1;1.100
65;1;1;900
40;1;1;840
70;3;1;875
105;3;2;3.000
57;2;1;800
55;2;1;1.100
55;1;1;850
65;1;1;1.130
77;2;2;1.250
148;3;2;2.200
191;3;3;3.900
107;1;1;1.950
65;2;1;950
230;4;8;2.000
80;2;2;1.350
65;2;1;900
216;4;3;3.700
65;3;1;875
45;1;1;650
85;3;2;1.400
